product_id,name,price_inr,rating,timestamp
7541004,Smashbox Halo Healthy Glow All in One Tinted Moisturizer Broad Spectrum SPF 25 - Light Neutral (12ml),1750.0,4.5,2026-04-13 09:18:53
8576458,FENTY BEAUTY Diamond Bomb - Pink Ice (8 g),4475.0,4.2,2026-04-13 09:18:53
7608575,Sheglam Go Go Glow Highlighting Body Mist - Gilded Glow (10 g),679.0,4.2,2026-04-13 09:18:53
8732846,KRYOLAN Supracolor Foundation - FS28 (8 ml),846.0,1.0,2026-04-13 09:18:53
8732781,KRYOLAN Dermacolor Camouflage Creme Refill - D64 (4 g),517.0,3.0,2026-04-13 09:18:53
7511013,Insight Cosmetics 3 In 1 Long Lasting Primer - (30ml),292.0,3.9,2026-04-13 09:18:53
7574347,Europe Girl After Glow Kit - Multi-Color (50 g),1395.0,4.3,2026-04-13 09:18:53
8676147,"Akind One For All Multi-Tint - Barrier-Loving Tint for Lips, Cheeks & Eyes - Sun Downer (5.5 ml)",417.0,3.9,2026-04-13 09:18:53
8732621,KRYOLAN Dermacolor Camouflage Creme - D4 (4 g),1034.0,3.0,2026-04-13 09:18:53
7558803,Rom&nd Back Me Tone Up Cream - White (50ml),621.0,4.2,2026-04-13 09:18:53
8732831,KRYOLAN Supracolor Refill - FS22 (4 ml),470.0,3.5,2026-04-13 09:18:53
7545637,RENEE Face Primer Bollywood Filter (15g),391.0,4.4,2026-04-13 09:18:53
7594277,Innisfree No-Sebum Mineral Powder - White (5 g),440.0,4.1,2026-04-13 09:18:53
8732650,KRYOLAN Supracolor Refill - Ivory (4 ml),470.0,3.8,2026-04-13 09:18:53
7523996,Garnier Skin Naturals Micellar Cleansing Water (400ml),374.0,4.1,2026-04-13 09:18:53
9327365,Maybelline Cloudtopia Cheek & Lip Mousse Blush - 08 Enchanted Mauve (5 g),764.0,,2026-04-13 09:18:53
8676149,"Akind One For All Multi-Tint - Barrier-Loving Tint for Lips, Cheeks & Eyes - Prime Time (5.5 ml)",417.0,3.9,2026-04-13 09:18:53
8576339,FENTY BEAUTY Diamond Bomb All-Over Diamond Veil - How Many Carats?! (8 g),4375.0,4.2,2026-04-13 09:18:53
8657734,Etude Fruity Lip & Cheek Blur Balm - 05 Plump Raspberry (2.3 g),760.0,5.0,2026-04-13 09:18:53
7568416,Daily Life Forever52 Complete Coverage Concealer COV003 - Iced Coffee (10g),571.0,3.3,2026-04-13 09:18:53
8627016,NARS Natural Radiant Longwear Foundation - Punjab (30 ml),4800.0,4.3,2026-04-13 09:18:53
8632226,Pixi On-The-Glow Blush - Cheektone (19 g),1360.0,3.9,2026-04-13 09:18:53
8732753,KRYOLAN Dermacolor Camouflage Creme Refill - D4 1/2 (4 g),517.0,4.5,2026-04-13 09:18:53
8686634,Huda Beauty Blush Filter - Rose Berry (7.5 g),3740.0,4.3,2026-04-13 09:18:53
7616270,Rom&nd See Through Veillighter - 02 Moonkissed Veil (5.5 g),765.0,4.3,2026-04-13 09:18:53
7552401,Tulips Cotton Pads 100S in Bag - (100Pcs),135.0,4.2,2026-04-13 09:18:53
8676140,"Akind One For All Multi-Tint - Barrier-Loving Tint for Lips, Cheeks & Eyes - Side Hustle (5.5 ml)",417.0,3.9,2026-04-13 09:18:53
8732852,KRYOLAN Ultra Underbase (60 ml),1620.0,4.5,2026-04-13 09:18:53
